element_index,x_m,y_m,z_m,power_weight,receiver_range_m,receiver_delay_s
30,1.50350819325745,0.54723222932107,-49.775,0.00531914893617021,619.391666459687,0.412927777639791
31,-1.44909312166166,-0.696736409808522,-49.840900974233,0.00531914893617021,622.565568459962,0.415043712306641
32,-1.11498018982667,-0.575129247737173,-49.840900974233,0.00718581561341241,622.211399657532,0.414807599771688
33,-0.78086725799168,-0.453522085665824,-49.840900974233,0.0119123815611681,621.857232437802,0.414571488291868
34,-0.44675432615669,-0.331914923594475,-49.840900974233,0.0172872340425532,621.503066803475,0.414335377868984
35,-0.1126413943217,-0.210307761523126,-49.840900974233,0.0207954198466961,621.148902757265,0.414099268504843
36,0.221471537513289,-0.0887005994517774,-49.840900974233,0.0207954198466961,620.794740301889,0.413863160201259
37,0.555584469348279,0.0329065626195715,-49.840900974233,0.0172872340425532,620.440579440071,0.413627052960047
38,0.889697401183269,0.15451372469092,-49.840900974233,0.0119123815611681,620.086420174542,0.413390946783028
39,1.22381033301826,0.276120886762269,-49.840900974233,0.00718581561341241,619.732262508038,0.413154841672025
40,1.55792326485325,0.397728048833618,-49.840900974233,0.00531914893617021,619.378106443303,0.412918737628869
41,-1.42655366100918,-0.758663068997899,-50,0.00531914893617021,622.561038935372,0.415040692623582
42,-1.09244072917419,-0.63705590692655,-50,0.00718581561341241,622.206867554675,0.414804578369783
43,-0.758327797339199,-0.515448744855202,-50,0.0119123815611681,621.852697753751,0.414568465169167
44,-0.424214865504209,-0.393841582783853,-50,0.0172872340425532,621.4985295353,0.414332353023533
45,-0.0901019336692194,-0.272234420712504,-50,0.0207954198466961,621.14436290203,0.414096241934687
46,0.24401099816577,-0.150627258641155,-50,0.0207954198466961,620.790197856655,0.413860131904436
47,0.57812393000076,-0.0290200965698061,-50,0.0172872340425532,620.436034401892,0.413624022934595
48,0.91223686183575,0.0925870655015428,-50,0.0119123815611681,620.081872540468,0.413387915026979
49,1.24634979367074,0.214194227572892,-50,0.00718581561341241,619.727712275114,0.41315180818341
50,1.58046272550573,0.335801389644241,-50,0.00531914893617021,619.373553608569,0.412915702405713
51,-1.44909312166166,-0.696736409808522,-50.159099025767,0.00531914893617021,622.568123993182,0.415045415995455
52,-1.11498018982667,-0.575129247737173,-50.159099025767,0.00718581561341241,622.213956645382,0.414809304430254
53,-0.78086725799168,-0.453522085665824,-50.159099025767,0.0119123815611681,621.85979088193,0.414573193921287
54,-0.44675432615669,-0.331914923594475,-50.159099025767,0.0172872340425532,621.505626705535,0.414337084470357
55,-0.1126413943217,-0.210307761523126,-50.159099025767,0.0207954198466961,621.151464118913,0.414100976079275
56,0.221471537513289,-0.0887005994517774,-50.159099025767,0.0207954198466961,620.797303124784,0.413864868749856
57,0.555584469348279,0.0329065626195715,-50.159099025767,0.0172872340425532,620.443143725874,0.413628762483916
58,0.889697401183269,0.15451372469092,-50.159099025767,0.0119123815611681,620.088985924918,0.413392657283279
59,1.22381033301826,0.276120886762269,-50.159099025767,0.00718581561341241,619.734829724655,0.41315655314977
60,1.55792326485325,0.397728048833618,-50.159099025767,0.00531914893617021,619.380675127831,0.41292045008522
61,-1.50350819325745,-0.54723222932107,-50.225,0.00531914893617021,622.58267304053,0.415055115360353
62,-1.16939526142246,-0.425625067249721,-50.225,0.00718581561341241,622.228513973928,0.414819009315952
63,-0.835282329587474,-0.304017905178372,-50.225,0.0119123815611681,621.874356501069,0.414582904334046
64,-0.501169397752484,-0.182410743107023,-50.225,0.0172872340425532,621.520200624679,0.414346800416453
65,-0.167056465917495,-0.0608035810356745,-50.225,0.0207954198466961,621.166046347489,0.414110697564993
66,0.167056465917495,0.0608035810356744,-50.225,0.0207954198466961,620.811893672235,0.41387459578149
67,0.501169397752484,0.182410743107023,-50.225,0.0172872340425532,620.45774260166,0.413638495067773
68,0.835282329587474,0.304017905178372,-50.225,0.0119123815611681,620.103593138513,0.413402395425675
69,1.16939526142246,0.425625067249721,-50.225,0.00718581561341241,619.749445285551,0.413166296857034
70,1.50350819325745,0.54723222932107,-50.225,0.00531914893617021,619.395299045535,0.41293019936369
71,-1.55792326485325,-0.397728048833618,-50.159099025767,0.00531914893617021,622.596163262117,0.415064108841411
72,-1.22381033301826,-0.276120886762269,-50.159099025767,0.00718581561341241,622.242011873691,0.414828007915794
73,-0.889697401183269,-0.15451372469092,-50.159099025767,0.0119123815611681,621.88786208772,0.41459190805848
74,-0.555584469348279,-0.0329065626195715,-50.159099025767,0.0172872340425532,621.533713906944,0.414355809271296
75,-0.221471537513289,0.0887005994517774,-50.159099025767,0.0207954198466961,621.179567334106,0.414119711556071
76,0.1126413943217,0.210307761523126,-50.159099025767,0.0207954198466961,620.82542237196,0.41388361491464
77,0.44675432615669,0.331914923594475,-50.159099025767,0.0172872340425532,620.471279023263,0.413647519348842
78,0.78086725799168,0.453522085665824,-50.159099025767,0.0119123815611681,620.11713729078,0.41341142486052
79,1.11498018982667,0.575129247737173,-50.159099025767,0.00718581561341241,619.76299717728,0.41317533145152
80,1.44909312166166,0.696736409808522,-50.159099025767,0.00531914893617021,619.408858685541,0.412939239123694
